row,move,count
415,Rxd8,2854929
416,Kxd8,789935
417,Qg8,627711
418,Qxa8,762592
419,Qxb7,1744063
420,Qxc7,1134187
421,Kxe6,480701
422,Qxc5,1571026
423,Kc6,2984631
424,Kg6,4397576
425,Kh5,1602757
426,Kg4,3113127
427,Qf5,3100192
428,Kxe3,400648
429,Qxd8,1494861
430,Bxd8,700803
431,Re7,3482518
432,Bc7,1460921
433,Rxd6,1550508
434,gxh6,980136
435,Rxh6,811807
436,Rg6,1665702
437,Rhg1,473950
438,Rf6,2153649
439,Rdf1,268150
440,Bh2,640933
441,Rh6,1305440
442,Rxh5,836401
443,Rb4,1386881
444,Ngf6,775550
445,Nh5,2980826
446,Rde1,526070
447,bxa3,576497
448,Qxa3,588708
449,Qh6,1793827
450,Qa2,620995
451,Qa1,716780
452,Qf1,1034212
453,Nxh8,361817
454,Bxc3,4191098
455,dxe3,503807
456,cxb6,651399
457,Bb8,423644
458,Qd3,5036858
459,Qd6,4300344
460,Red8,291653
461,Rfd1,1608236
462,Rxc8,1343864
463,Bxc8,355706
464,Rxb8,663021
465,Qxf6,3049278
466,Nb4,3265002
467,Nd3,2877424
468,Bxa8,604576
469,Nxd7,1537323
470,Qg4,4109155
471,Kc7,3149541
472,Qa7,723442
473,Nbc6,478182
474,Bh6,2610317
475,Nxc2,825003
476,Bxf8,802833
477,Qxf8,642164
478,Nce3,18228
479,Rad1,3349209
480,Kxf8,657160
481,Nc7,1619485
482,Nxa3,320334
483,hxg6,2281022
484,Kg5,3099710
485,Kh6,2342332
486,Kh7,4518243
487,a2,833508
488,a1=Q,476496
489,Qxc6,1777182
490,Qg7,1537136
491,Qc3,2603853
492,hxg4,2650789
493,fxg5,1312164
494,Qxg5,1820598
495,Rf5,1735497
496,Rxg5,813544
497,Qxf7,1548227
498,Rhf1,413361
499,axb3,1534612
500,cxb3,733903
501,Rf3,2449771
502,Qxd3,2371158
503,dxe5,8622564
504,exf3,1046013
505,fxg2,111754
506,cxb7,125273
507,Rxe1,2100520
508,Kb3,2071601
509,Rxb1,664440
510,Nxb1,136281
511,Qxb1,279101
512,Ka4,819506
513,Qxa2,1065576
514,Kb4,1835539
515,Kc5,2589197
516,Qc4,2385861
517,Qxf3,3371666
